train_masks,fold,split,eval_masks,stem,dice,iou,precision,recall,pred_positive_pixels,gt_positive_pixels,tp_pixels,fp_pixels,fn_pixels,complete_miss,pred_gt_ratio,subject,cut
hliu36,2,cv_val,hliu36,150_AI_2-4_WL_Bruise_A244A_2026-03-05_DSC_1349,0.6399520635158416,0.47053640268752067,0.7587921847246891,0.5532962051547727,5630,7721,4272.0,1358.0,3449.0,False,0.7291801580106204,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AI_2-4_WL_Bruise_A244A_2026-03-05_DSC_1350,0.5889238294898672,0.4173579299244769,0.7288648648648649,0.4940641946357907,4625,6823,3371.0,1254.0,3452.0,False,0.67785431628316,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AI_2-4_WL_Bruise_A244A_2026-03-05_DSC_1351,0.6159929701230229,0.4450793650793651,0.8597710547833197,0.4799178457325422,4892,8764,4206.0,686.0,4558.0,False,0.5581926061159288,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AI_2-4_WL_Bruise_OC_A244A_2026-03-05_DSC_1353,0.5952592592592593,0.4237502636574562,0.4264487369985141,0.9852869053457577,4711,2039,2009.0,2702.0,30.0,False,2.310446297204512,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AI_2-4_WL_Bruise_OC_A244A_2026-03-05_DSC_1354,0.8264994916977296,0.704302627779382,0.733754512635379,0.9460822342901474,3324,2578,2439.0,885.0,139.0,False,1.2893716058960434,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AK_2-4_WL_Bruise_A244A_2026-03-05_DSC_1493,0.9435142223118822,0.8930685506969639,0.9463779846216107,0.9406677393403057,4942,4972,4677.0,265.0,295.0,False,0.9939662107803701,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AK_2-4_WL_Bruise_A244A_2026-03-05_DSC_1494,0.8781079442086113,0.7827027027027027,0.8940479130649543,0.8627264061010487,4049,4196,3620.0,429.0,576.0,False,0.9649666348903718,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AK_2-4_WL_Bruise_A244A_2026-03-05_DSC_1495,0.8468549566782941,0.7343871975019516,0.8974481278321012,0.8016616957818492,4193,4694,3763.0,430.0,931.0,False,0.8932680017043033,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AK_2-4_WL_Bruise_OC_A244A_2026-03-05_DSC_1497,0.8204524650189616,0.6955654101995565,1.0,0.6955654101995565,3137,4510,3137.0,0.0,1373.0,False,0.6955654101995565,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AK_2-4_WL_Bruise_OC_A244A_2026-03-05_DSC_1498,0.8479645527554694,0.7360576923076924,0.9544887780548629,0.7628300946686597,3208,4014,3062.0,146.0,952.0,False,0.7992027902341804,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AL_2-4_WL_Bruise_A244A_2026-03-05_DSC_1511,0.7240643233243205,0.5674771358465314,0.5938375350140056,0.9274516952242071,4284,2743,2544.0,1740.0,199.0,False,1.5617936565803865,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AL_2-4_WL_Bruise_A244A_2026-03-05_DSC_1512,0.655268022181146,0.4872852233676976,0.48736896373947414,0.9996475149806133,5819,2837,2836.0,2983.0,1.0,False,2.051110327811068,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AL_2-4_WL_Bruise_A244A_2026-03-05_DSC_1513,0.8409661835748792,0.7255751917305768,0.7388794567062819,0.9757847533632287,2945,2230,2176.0,769.0,54.0,False,1.3206278026905829,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AQ_2-4_WL_Bruise_OC_A244A_2026-02-27_DSC_6142,0.3028181379219525,0.17842409507675197,1.0,0.17842409507675197,13797,77327,13797.0,0.0,63530.0,False,0.17842409507675197,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AR_2-4_WL_Bruise_A244A_2026-02-27_DSC_6158,0.860864682762493,0.755717665615142,0.8461368653421634,0.8761142857142857,4530,4375,3833.0,697.0,542.0,False,1.0354285714285714,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AR_2-4_WL_Bruise_A244A_2026-02-27_DSC_6159,0.821041948579161,0.6964131994261119,0.8025793650793651,0.8403739612188366,3024,2888,2427.0,597.0,461.0,False,1.0470914127423823,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AR_2-4_WL_Bruise_A244A_2026-02-27_DSC_6160,0.853398283460914,0.7442848472587498,0.8334843679202537,0.874287072243346,4414,4208,3679.0,735.0,529.0,False,1.0489543726235742,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AR_2-4_WL_Bruise_OC_A244A_2026-02-27_DSC_6162,0.6727777777777778,0.5069066555043952,0.5769414006669843,0.8067954696868754,6297,4503,3633.0,2664.0,870.0,False,1.3984010659560293,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AR_2-4_WL_Bruise_OC_A244A_2026-02-27_DSC_6163,0.8251056125528062,0.7022806657078282,0.9666289592760181,0.7197304695725416,3536,4749,3418.0,118.0,1331.0,False,0.744577805853864,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AS_2-4_WL_Bruise_A244A_2026-02-27_DSC_6179,0.8083824821182081,0.678390901432182,0.6974880900822867,0.9612056102655924,4618,3351,3221.0,1397.0,130.0,False,1.3780960907191884,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AS_2-4_WL_Bruise_A244A_2026-02-27_DSC_6180,0.7499222395023328,0.5999004727544165,0.6150510204081633,0.9605577689243028,3920,2510,2411.0,1509.0,99.0,False,1.5617529880478087,150,4.475000000000001
hliu36,2,cv_val,hliu36,150_AS_2-4_WL_Bruise_A244A_2026-02-27_DSC_6182,0.8453696748578173,0.7321561338289962,0.8089956869993838,0.8851685393258427,4869,4450,3939.0,930.0,511.0,False,1.0941573033707865,150,4.475000000000001
hliu36,2,cv_val,hliu36,160_E_2-4_WL_Bruise_A244A_2026-03-02_DSC_6976,0.564018564018564,0.3927756653992395,0.5362055541136777,0.5948747480564354,7706,6946,4132.0,3574.0,2814.0,False,1.1094154909300318,160,4.475000000000001
hliu36,2,cv_val,hliu36,160_E_2-4_WL_Bruise_A244A_2026-03-02_DSC_6977,0.6379374396314733,0.4683613353698451,0.6420879449596171,0.633840248043703,6686,6773,4293.0,2393.0,2480.0,False,0.9871548796692751,160,4.475000000000001
hliu36,2,cv_val,hliu36,160_E_2-4_WL_Bruise_A244A_2026-03-02_DSC_6978,0.7844609483391822,0.6453605478716261,0.70109409190372,0.890329751759911,6855,5398,4806.0,2049.0,592.0,False,1.2699147832530566,160,4.475000000000001
hliu36,2,cv_val,hliu36,160_E_2-4_WL_Bruise_OC_A244A_2026-03-02_DSC_6980,0.5512591482740736,0.38050914876690534,0.5705594655851127,0.533221850613155,8383,8970,4783.0,3600.0,4187.0,False,0.9345596432552954,160,4.475000000000001
hliu36,2,cv_val,hliu36,160_E_2-4_WL_Bruise_OC_A244A_2026-03-02_DSC_6981,0.803540529748436,0.6715986205362109,0.8409249199052793,0.769338600739136,7179,7847,6037.0,1142.0,1810.0,False,0.9148719255766535,160,4.475000000000001
hliu36,2,cv_val,hliu36,186_B_2-4_WL_Bruise_A244A_2026-03-04_DSC_9421,0.8922171018945213,0.8054079038594869,0.9185556141275698,0.8673469387755102,3794,4018,3485.0,309.0,533.0,False,0.9442508710801394,186,4.475000000000001
hliu36,2,cv_val,hliu36,186_B_2-4_WL_Bruise_A244A_2026-03-04_DSC_9422,0.8412384716732543,0.7259806708357021,0.8933193424274222,0.7948957360722066,2859,3213,2554.0,305.0,659.0,False,0.8898225957049486,186,4.475000000000001
hliu36,2,cv_val,hliu36,186_B_2-4_WL_Bruise_A244A_2026-03-04_DSC_9423,0.7792161730803334,0.6382916908773969,0.6917506297229219,0.8920016240357288,3176,2463,2197.0,979.0,266.0,False,1.2894843686561104,186,4.475000000000001
hliu36,2,cv_val,hliu36,186_B_2-4_WL_Bruise_OC_A244A_2026-03-04_DSC_9425,0.8553362122146823,0.7472379412557262,0.9352445193929174,0.7880079568059107,2965,3519,2773.0,192.0,746.0,False,0.84256891162262,186,4.475000000000001
hliu36,2,cv_val,hliu36,186_B_2-4_WL_Bruise_OC_A244A_2026-03-04_DSC_9426,0.8312116219859218,0.7111737570476678,0.8693609022556391,0.7962697274031564,3192,3485,2775.0,417.0,710.0,False,0.9159253945480631,186,4.475000000000001
hliu36,2,cv_val,hliu36,186_E_2-4_WL_Bruise_A244A_2026-03-05_DSC_9901,0.6457635848570693,0.4768470096034991,0.9460479154876439,0.49017691330270746,5301,10231,5015.0,286.0,5216.0,False,0.5181311699736096,186,4.475000000000001
hliu36,2,cv_val,hliu36,186_E_2-4_WL_Bruise_A244A_2026-03-05_DSC_9902,0.6136537668610473,0.4426410605030591,0.8428802588996763,0.4824488283782532,6180,10797,5209.0,971.0,5588.0,False,0.5723812170047236,186,4.475000000000001
hliu36,2,cv_val,hliu36,186_E_2-4_WL_Bruise_A244A_2026-03-05_DSC_9903,0.25082856282012655,0.14339850142106622,0.8520982599795291,0.14705882352941177,1954,11322,1665.0,289.0,9657.0,False,0.1725843490549373,186,4.475000000000001
hliu36,2,cv_val,hliu36,186_E_2-4_WL_Bruise_OC_A244A_2026-03-05_DSC_9905,0.7530550514216576,0.6039200465748108,0.9400392689925993,0.6281158542738924,6621,9909,6224.0,397.0,3685.0,False,0.6681804420224039,186,4.475000000000001
hliu36,2,cv_val,hliu36,186_E_2-4_WL_Bruise_OC_A244A_2026-03-05_DSC_9906,0.0,0.0,0.0,0.0,725,10670,0.0,725.0,10670.0,True,0.06794751640112465,186,4.475000000000001
hliu36,2,cv_val,hliu36,208_B_2-4_WL_Bruise_A244A_2026-03-05_DSC_1626,0.24745071380013597,0.14119472459270752,0.157439446366782,0.5777777777777777,1156,315,182.0,974.0,133.0,False,3.6698412698412697,208,4.475000000000001
hliu36,2,cv_val,hliu36,208_B_2-4_WL_Bruise_A244A_2026-03-05_DSC_1627,0.14991762767710048,0.08103294746215495,0.0980603448275862,0.3181818181818182,928,286,91.0,837.0,195.0,False,3.2447552447552446,208,4.475000000000001
hliu36,2,cv_val,hliu36,208_B_2-4_WL_Bruise_A244A_2026-03-05_DSC_1628,0.0,0.0,0.0,0.0,81,303,0.0,81.0,303.0,True,0.26732673267326734,208,4.475000000000001
hliu36,2,cv_val,hliu36,208_B_2-4_WL_Bruise_OC_A244A_2026-03-05_DSC_1630,0.0,0.0,0.0,0.0,1636,244,0.0,1636.0,244.0,True,6.704918032786885,208,4.475000000000001
hliu36,2,cv_val,hliu36,208_B_2-4_WL_Bruise_OC_A244A_2026-03-05_DSC_1631,0.0,0.0,0.0,0.0,178,279,0.0,178.0,279.0,True,0.6379928315412187,208,4.475000000000001
hliu36,2,cv_val,hliu36,22_AF_2-4_WL_Bruise_A244A_2026-03-05_DSC_9938,0.7563249001331558,0.6081370449678801,0.753315649867374,0.7593582887700535,1885,1870,1420.0,465.0,450.0,False,1.0080213903743316,22,4.475000000000001
hliu36,2,cv_val,hliu36,22_AF_2-4_WL_Bruise_A244A_2026-03-05_DSC_9939,0.7394636015325671,0.5866261398176292,0.6352166758091059,0.8846447669977082,1823,1309,1158.0,665.0,151.0,False,1.3926661573720398,22,4.475000000000001
hliu36,2,cv_val,hliu36,22_AF_2-4_WL_Bruise_A244A_2026-03-05_DSC_9940,0.8838461538461538,0.791867677463818,0.9582985821517932,0.8201284796573876,1199,1401,1149.0,50.0,252.0,False,0.8558172733761599,22,4.475000000000001
hliu36,2,cv_val,hliu36,22_AF_2-4_WL_Bruise_OC_A244A_2026-03-05_DSC_9942,0.8896961690885072,0.801308744794765,0.9628305932809149,0.8268876611418048,1399,1629,1347.0,52.0,282.0,False,0.8588090853284224,22,4.475000000000001
hliu36,2,cv_val,hliu36,22_AF_2-4_WL_Bruise_OC_A244A_2026-03-05_DSC_9943,0.8612159329140461,0.7562592047128129,0.851575456053068,0.8710771840542832,1206,1179,1027.0,179.0,152.0,False,1.0229007633587786,22,4.475000000000001
