train_masks,fold,split,eval_masks,stem,dice,iou,precision,recall,pred_positive_pixels,gt_positive_pixels,tp_pixels,fp_pixels,fn_pixels,complete_miss,pred_gt_ratio,subject,cut
nmousta5,2,cv_val,nmousta5,150_AM_2-4_WL_Bruise_A244A_2026-03-05_DSC_1529,0.8574295068117014,0.7504390424253627,0.8577012465666596,0.8571579391891891,9466,9472,8119.0,1347.0,1353.0,False,0.9993665540540541,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_AM_2-4_WL_Bruise_A244A_2026-03-05_DSC_1530,0.8590951932139491,0.7529946303180504,0.8345159075303273,0.8851663025006069,8738,8238,7292.0,1446.0,946.0,False,1.0606943432872056,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_AM_2-4_WL_Bruise_A244A_2026-03-05_DSC_1531,0.8029989028404242,0.6708422446277625,0.7970716360116167,0.809014984033407,8264,8142,6587.0,1677.0,1555.0,False,1.0149840334070253,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_AM_2-4_WL_Bruise_OC_A244A_2026-03-05_DSC_1533,0.8522021075385031,0.742467043314501,0.8058252427184466,0.904243119266055,7828,6976,6308.0,1520.0,668.0,False,1.1221330275229358,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_AM_2-4_WL_Bruise_OC_A244A_2026-03-05_DSC_1534,0.8426133659664151,0.7280310150375939,0.8499519956110273,0.8354003774602319,7291,7418,6197.0,1094.0,1221.0,False,0.9828794823402535,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_AS_2-4_WL_Bruise_A244A_2026-02-27_DSC_6179,0.898159509202454,0.8151447661469933,0.8693586698337292,0.9289340101522843,3368,3152,2928.0,440.0,224.0,False,1.0685279187817258,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_AS_2-4_WL_Bruise_A244A_2026-02-27_DSC_6180,0.7835420393559929,0.6441176470588236,0.832347972972973,0.740142696207285,2368,2663,1971.0,397.0,692.0,False,0.8892226811866316,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_AS_2-4_WL_Bruise_A244A_2026-02-27_DSC_6182,0.7740176025784059,0.6313447927199191,0.6467785373938264,0.9635802469135802,4827,3240,3122.0,1705.0,118.0,False,1.489814814814815,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_AS_2-4_WL_Bruise_OC_A244A_2026-02-27_DSC_6184,0.8751322751322751,0.7779868297271872,0.781072912731394,0.9949470644850819,5294,4156,4135.0,1159.0,21.0,False,1.2738209817131858,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_AS_2-4_WL_Bruise_OC_A244A_2026-02-27_DSC_6185,0.8221747388414055,0.6980447490425318,0.7178689883913765,0.9619444444444445,4824,3600,3463.0,1361.0,137.0,False,1.34,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_BB_2-6_WL_Bruise_OC_A244A_2026-04-06_DSC_1978,0.4668783532245702,0.30452792458220257,0.33359411672664685,0.7775346462436178,6391,2742,2132.0,4259.0,610.0,False,2.3307804522246536,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_BB_2-6_WL_Bruise_OC_A244A_2026-04-06_DSC_1980,0.20047732696897375,0.11140583554376658,0.1395638629283489,0.35574377977766014,4815,1889,672.0,4143.0,1217.0,False,2.548967707781895,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_BC_2-6_WL_Bruise_A244A_2026-04-07_DSC_3491,0.8049760765550239,0.6736066623959001,0.8029782359679267,0.8069838833461244,2619,2606,2103.0,516.0,503.0,False,1.0049884881043745,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_BC_2-6_WL_Bruise_A244A_2026-04-07_DSC_3492,0.7414066631411952,0.5890756302521009,0.6890563564875491,0.8023655093475772,3052,2621,2103.0,949.0,518.0,False,1.1644410530331935,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_BC_2-6_WL_Bruise_A244A_2026-04-07_DSC_3493,0.4235943428768541,0.2687089715536105,0.4225739848589126,0.42461964038727523,1453,1446,614.0,839.0,832.0,False,1.0048409405255878,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_BC_2-6_WL_Bruise_OC_A244A_2026-04-07_DSC_3495,0.6753075571177505,0.5097844112769486,0.5591124045107312,0.8524681087077094,2749,1803,1537.0,1212.0,266.0,False,1.5246810870770937,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_BC_2-6_WL_Bruise_OC_A244A_2026-04-07_DSC_3496,0.5667588634649233,0.3954385964912281,0.4637860082304527,0.7285067873303167,2430,1547,1127.0,1303.0,420.0,False,1.570782159017453,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_BF_2-6_WL_Bruise_A244A_2026-04-07_DSC_3549,0.6982401377751467,0.536381676864561,0.744178042904669,0.6576439578264396,8717,9864,6487.000000000001,2229.999999999999,3376.999999999999,False,0.8837185725871858,150,2.8499999999999996
nmousta5,2,cv_val,nmousta5,150_BF_2-6_WL_Bruise_A244A_2026-04-07_DSC_3550,0.6047706832020557,0.43345611787315824,0.6589166159464395,0.5588478215981829,8215,9686,5413.0,2802.0,4273.0,False,0.848131323559777,150,2.8499999999999996
